Dataset,Model,Analysis Type,Error,Error Rate,Correct,Correct Rate,Total
cora,GCN,TOTAL,508,0.18759231905465287,2200,0.8124076809453471,2708
cora,GCNWF,TOTAL,1130,0.4172821270310192,1578,0.5827178729689808,2708
cora,MLP,TOTAL,1049,0.387370753323486,1659,0.612629246676514,2708
cora,GCN,SPD,329,0.514866979655712,310,0.48513302034428796,639
cora,GCNWF,SPD,578,0.9045383411580594,61,0.09546165884194058,639
cora,MLP,SPD,344,0.5383411580594679,295,0.4616588419405321,639
cora,GCN,KFS,301,0.34011299435028247,584,0.6598870056497175,885
cora,GCNWF,KFS,491,0.5548022598870056,394,0.4451977401129944,885
cora,MLP,KFS,596,0.6734463276836158,289,0.3265536723163842,885
cora,GCN,SPD+KFS,191,0.6541095890410958,101,0.34589041095890416,292
cora,GCNWF,SPD+KFS,266,0.910958904109589,26,0.08904109589041098,292
cora,MLP,SPD+KFS,215,0.7363013698630136,77,0.26369863013698636,292
citeseer,GCN,TOTAL,1040,0.31259392846408174,2287,0.6874060715359183,3327
citeseer,GCNWF,TOTAL,2064,0.6203787195671776,1263,0.3796212804328224,3327
citeseer,MLP,TOTAL,1461,0.43913435527502254,1866,0.5608656447249775,3327
citeseer,GCN,SPD,474,0.688953488372093,214,0.311046511627907,688
citeseer,GCNWF,SPD,583,0.8473837209302325,105,0.1526162790697675,688
citeseer,MLP,SPD,411,0.5973837209302325,277,0.4026162790697675,688
citeseer,GCN,KFS,550,0.5032021957913998,543,0.4967978042086002,1093
citeseer,GCNWF,KFS,710,0.6495882891125343,383,0.3504117108874657,1093
citeseer,MLP,KFS,800,0.7319304666056725,293,0.2680695333943275,1093
citeseer,GCN,SPD+KFS,243,0.826530612244898,51,0.173469387755102,294
citeseer,GCNWF,SPD+KFS,240,0.8163265306122449,54,0.18367346938775508,294
citeseer,MLP,SPD+KFS,252,0.8571428571428571,42,0.1428571428571429,294
pubmed,GCN,TOTAL,4253,0.21570218593092255,15464,0.7842978140690775,19717
pubmed,GCNWF,TOTAL,12035,0.6103869757062433,7682,0.38961302429375666,19717
pubmed,MLP,TOTAL,5191,0.26327534614799414,14526,0.7367246538520058,19717
pubmed,GCN,SPD,2958,0.4796497486622345,3209,0.5203502513377656,6167
pubmed,GCNWF,SPD,5130,0.8318469271931247,1037,0.1681530728068753,6167
pubmed,MLP,SPD,2837,0.4600291876114805,3330,0.5399708123885195,6167
pubmed,GCN,KFS,2438,0.5131551252367923,2313,0.4868448747632077,4751
pubmed,GCNWF,KFS,2971,0.6253420332561566,1780,0.37465796674384344,4751
pubmed,MLP,KFS,3428,0.7215323089875816,1323,0.2784676910124184,4751
pubmed,GCN,SPD+KFS,1678,0.7548358074673864,545,0.24516419253261357,2223
pubmed,GCNWF,SPD+KFS,1850,0.832208726945569,373,0.16779127305443098,2223
pubmed,MLP,SPD+KFS,1863,0.8380566801619433,360,0.16194331983805665,2223
cora_ml,GCN,TOTAL,460,0.16370106761565836,2350,0.8362989323843416,2810
cora_ml,GCNWF,TOTAL,1138,0.40498220640569393,1672,0.5950177935943061,2810
cora_ml,MLP,TOTAL,806,0.2868327402135231,2004,0.7131672597864769,2810
cora_ml,GCN,SPD,246,0.492,254,0.508,500
cora_ml,GCNWF,SPD,332,0.664,168,0.33599999999999997,500
cora_ml,MLP,SPD,228,0.456,272,0.544,500
cora_ml,GCN,KFS,254,0.3718887262079063,429,0.6281112737920937,683
cora_ml,GCNWF,KFS,388,0.568081991215227,295,0.43191800878477304,683
cora_ml,MLP,KFS,441,0.6456808199121523,242,0.3543191800878477,683
cora_ml,GCN,SPD+KFS,141,0.6945812807881774,62,0.3054187192118226,203
cora_ml,GCNWF,SPD+KFS,153,0.7536945812807881,50,0.24630541871921185,203
cora_ml,MLP,SPD+KFS,145,0.7142857142857143,58,0.2857142857142857,203
Photo,GCN,TOTAL,677,0.08849673202614379,6973,0.9115032679738562,7650
Photo,GCNWF,TOTAL,1160,0.15163398692810456,6490,0.8483660130718954,7650
Photo,MLP,TOTAL,2777,0.3630065359477124,4873,0.6369934640522876,7650
Photo,GCN,SPD,438,0.36930860033726814,748,0.6306913996627319,1186
Photo,GCNWF,SPD,779,0.6568296795952783,407,0.34317032040472173,1186
Photo,MLP,SPD,686,0.5784148397976391,500,0.4215851602023609,1186
Photo,GCN,KFS,373,0.09099780434252257,3726,0.9090021956574774,4099
Photo,GCNWF,KFS,636,0.15515979507196878,3463,0.8448402049280312,4099
Photo,MLP,KFS,2058,0.502073676506465,2041,0.49792632349353505,4099
Photo,GCN,SPD+KFS,245,0.3695324283559578,418,0.6304675716440422,663
Photo,GCNWF,SPD+KFS,438,0.6606334841628959,225,0.3393665158371041,663
Photo,MLP,SPD+KFS,492,0.7420814479638009,171,0.25791855203619907,663
cora_ml,GAT,TOTAL,389,0.13843416370106762,2421,0.8615658362989324,2810
cora_ml,GATWF,TOTAL,555,0.19750889679715303,2255,0.802491103202847,2810
cora_ml,MLP,TOTAL,784,0.27900355871886123,2026,0.7209964412811387,2810
cora_ml,GAT,SPD,281,0.562,219,0.43799999999999994,500
cora_ml,GATWF,SPD,350,0.7,150,0.30000000000000004,500
cora_ml,MLP,SPD,234,0.468,266,0.532,500
cora_ml,GAT,KFS,221,0.3235724743777452,462,0.6764275256222547,683
cora_ml,GATWF,KFS,254,0.3718887262079063,429,0.6281112737920937,683
cora_ml,MLP,KFS,439,0.6427525622254758,244,0.35724743777452417,683
cora_ml,GAT,SPD+KFS,159,0.7832512315270936,44,0.21674876847290636,203
cora_ml,GATWF,SPD+KFS,168,0.8275862068965517,35,0.1724137931034483,203
cora_ml,MLP,SPD+KFS,148,0.729064039408867,55,0.270935960591133,203
